datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent)
1994-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,11.95,0.02,0.00,0.23
1994-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,14.93,0.02,0.00,0.01
1994-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,20.41,0.01,0.00,0.00
1994-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,28.45,0.00,0.00,0.00
1994-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,30.32,0.00,0.00,0.00
1994-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,30.01,0.00,0.00,0.00
1994-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,24.50,0.00,0.00,0.00
1994-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,15.20,0.02,0.00,0.01
1994-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.30,0.06,0.02,3.71
1994-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.11,0.04,0.00,1.76
1995-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.43,0.12,0.02,3.54
1995-02-28,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.34,0.04,0.00,0.29
1995-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.49,0.10,0.01,0.45
1995-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,13.01,0.04,0.00,0.17
1995-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,17.38,0.04,0.00,0.00
1995-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,22.79,0.02,0.00,0.00
1995-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,28.79,0.01,0.00,0.00
1995-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,29.38,0.01,0.00,0.00
1995-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,24.92,0.00,0.00,0.00
1995-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,17.02,0.00,0.00,0.00
1995-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,11.64,0.01,0.00,0.00
1995-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,6.00,0.01,0.00,0.07
1996-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.59,0.03,0.01,2.11
