datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent)
1994-03-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,2.88,0.06,0.03,57.17
1994-04-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,6.35,0.09,0.04,33.47
1994-05-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,13.08,0.05,0.00,0.22
1994-06-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,18.32,0.02,0.00,0.02
1994-07-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,22.51,0.01,0.00,0.00
1994-08-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,22.11,0.01,0.00,0.00
1994-09-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,16.28,0.07,0.00,0.00
1994-10-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,6.49,0.11,0.03,2.25
1994-11-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,-4.16,0.11,0.08,21.29
1994-12-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,-3.51,0.04,0.03,34.50
1995-01-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,-4.07,0.11,0.08,58.85
1995-02-28,"(41.731345, -111.834863)",era5,1787.03,-7.00,0.90,0.07,0.05,73.98
1995-03-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,1.78,0.14,0.06,73.94
1995-04-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,4.54,0.12,0.05,56.30
1995-05-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,8.37,0.14,0.01,10.22
1995-06-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,13.40,0.12,0.01,0.27
1995-07-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,19.35,0.04,0.00,0.00
1995-08-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,20.64,0.01,0.00,0.00
1995-09-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,15.77,0.02,0.00,0.00
1995-10-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,7.08,0.03,0.01,1.02
1995-11-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,3.39,0.08,0.03,3.02
1995-12-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,-2.12,0.11,0.06,19.04
1996-01-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,-4.86,0.15,0.14,71.57
1996-02-29,"(41.731345, -111.834863)",era5,1787.03,-7.00,-3.85,0.08,0.07,127.81
