datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),relative_humidity (0-1),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent)
2004-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,5.10,0.63,0.36,0.03,0.02,38.52
2004-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,9.19,0.57,0.53,0.09,0.01,1.15
2004-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,13.56,0.46,0.43,0.06,0.00,0.06
2004-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,19.27,0.42,0.39,0.02,0.00,0.00
2004-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,23.66,0.37,0.29,0.01,0.00,0.00
2004-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,21.30,0.40,0.33,0.02,0.00,0.00
2004-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,16.10,0.44,0.28,0.04,0.00,0.00
2004-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,9.94,0.61,0.55,0.19,0.03,2.16
2004-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,1.06,0.76,0.50,0.06,0.03,5.37
2004-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-3.18,0.79,0.54,0.08,0.05,38.60
2005-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-1.77,0.83,0.62,0.13,0.08,97.94
2005-02-28,"(41.223005, -111.973843)",era5,1604.59,-7.00,-1.33,0.81,0.51,0.08,0.06,127.88
2005-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,2.96,0.69,0.54,0.12,0.07,65.16
2005-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,7.04,0.66,0.55,0.13,0.01,24.53
2005-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,12.40,0.67,0.50,0.16,0.01,2.22
2005-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,15.95,0.57,0.43,0.09,0.00,0.12
2005-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,23.89,0.39,0.14,0.00,0.00,0.00
2005-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,21.77,0.44,0.25,0.01,0.00,0.00
2005-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,15.62,0.47,0.20,0.02,0.00,0.00
2005-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,9.93,0.61,0.38,0.06,0.00,0.05
2005-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,2.90,0.64,0.50,0.08,0.03,2.14
2005-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-4.28,0.77,0.67,0.13,0.07,47.71
2006-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-2.18,0.77,0.61,0.11,0.08,109.33
2006-02-28,"(41.223005, -111.973843)",era5,1604.59,-7.00,-3.54,0.70,0.45,0.06,0.05,166.70
2006-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,1.46,0.71,0.66,0.10,0.07,159.37
2006-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,7.53,0.65,0.44,0.12,0.05,49.88
2006-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,13.85,0.56,0.38,0.05,0.00,2.85
2006-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,20.08,0.46,0.27,0.02,0.00,0.00
2006-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,25.09,0.42,0.36,0.01,0.00,0.00
2006-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,22.02,0.38,0.19,0.01,0.00,0.00
2006-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,14.39,0.54,0.32,0.09,0.00,0.07
2006-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,7.91,0.67,0.45,0.09,0.01,0.68
2006-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,2.71,0.64,0.58,0.07,0.03,3.85
2006-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-4.11,0.74,0.50,0.05,0.04,17.78
2007-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-8.41,0.76,0.39,0.03,0.02,58.69
2007-02-28,"(41.223005, -111.973843)",era5,1604.59,-7.00,-0.58,0.72,0.61,0.09,0.06,73.37
2007-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,3.71,0.67,0.54,0.06,0.03,48.48
2007-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,8.47,0.59,0.53,0.07,0.02,1.58
2007-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,14.63,0.45,0.38,0.05,0.00,0.15
2007-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,20.22,0.38,0.26,0.06,0.00,0.05
2007-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,26.06,0.34,0.29,0.01,0.00,0.00
2007-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,24.14,0.36,0.22,0.01,0.00,0.00
2007-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,16.79,0.45,0.26,0.07,0.00,0.07
2007-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,8.35,0.64,0.41,0.07,0.01,0.71
2007-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,6.80,0.44,0.39,0.02,0.01,0.40
2007-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-4.42,0.77,0.68,0.10,0.09,27.67
2008-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-6.21,0.75,0.63,0.12,0.10,67.92
2008-02-29,"(41.223005, -111.973843)",era5,1604.59,-7.00,-2.23,0.76,0.58,0.10,0.08,103.89
2008-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,0.66,0.68,0.46,0.05,0.03,76.19
2008-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,5.11,0.51,0.44,0.04,0.02,30.01
2008-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,11.65,0.51,0.51,0.06,0.00,7.10
2008-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,18.29,0.39,0.26,0.02,0.00,0.01
2008-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,24.43,0.34,0.18,0.00,0.00,0.00
2008-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,22.95,0.34,0.17,0.00,0.00,0.00
2008-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,16.33,0.44,0.18,0.04,0.00,0.00
2008-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,8.57,0.56,0.33,0.06,0.02,1.57
2008-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,3.86,0.71,0.58,0.08,0.01,1.60
2008-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-3.45,0.73,0.62,0.11,0.10,22.10
2009-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-3.68,0.78,0.50,0.10,0.06,58.65
2009-02-28,"(41.223005, -111.973843)",era5,1604.59,-7.00,-1.80,0.74,0.54,0.07,0.05,86.95
2009-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,1.35,0.65,0.55,0.09,0.07,54.20
2009-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,6.06,0.67,0.55,0.14,0.05,29.17
2009-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,13.32,0.58,0.46,0.05,0.00,1.92
2009-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,16.24,0.62,0.52,0.09,0.00,0.00
2009-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,22.61,0.45,0.24,0.01,0.00,0.00
2009-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,20.61,0.45,0.30,0.02,0.00,0.00
2009-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,18.44,0.46,0.24,0.03,0.00,0.01
2009-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,6.69,0.65,0.49,0.09,0.02,1.33
2009-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,1.77,0.64,0.35,0.02,0.01,3.06
2009-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-7.37,0.77,0.55,0.06,0.06,20.23
2010-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-3.81,0.79,0.69,0.05,0.05,45.56
2010-02-28,"(41.223005, -111.973843)",era5,1604.59,-7.00,-1.75,0.79,0.61,0.03,0.03,61.78
2010-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,2.89,0.67,0.52,0.06,0.05,27.39
2010-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,6.24,0.60,0.63,0.12,0.06,13.78
2010-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,9.31,0.60,0.59,0.13,0.02,0.84
2010-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,17.55,0.54,0.43,0.05,0.00,0.00
2010-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,23.24,0.38,0.14,0.01,0.00,0.00
2010-08-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,21.97,0.40,0.21,0.02,0.00,0.00
2010-09-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,17.73,0.35,0.15,0.01,0.00,0.00
2010-10-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,10.89,0.59,0.48,0.09,0.01,1.08
2010-11-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,1.28,0.71,0.62,0.13,0.08,14.56
2010-12-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-1.33,0.84,0.77,0.15,0.09,46.03
2011-01-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,-5.33,0.81,0.51,0.06,0.03,71.00
2011-02-28,"(41.223005, -111.973843)",era5,1604.59,-7.00,-3.44,0.69,0.48,0.08,0.06,87.14
2011-03-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,2.75,0.69,0.69,0.11,0.08,81.81
2011-04-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,4.76,0.68,0.65,0.18,0.06,43.51
2011-05-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,9.10,0.69,0.59,0.20,0.01,18.74
2011-06-30,"(41.223005, -111.973843)",era5,1604.59,-7.00,15.78,0.59,0.34,0.04,0.00,1.30
2011-07-31,"(41.223005, -111.973843)",era5,1604.59,-7.00,22.67,0.49,0.28,0.01,0.00,0.00
